Matched Shingle,Entity,Search Query,Visits,Revenue
align,Collections,"align 4""",1558,"$13,599.70"
"4""",Inseam,"align 4""",1558,"$13,599.70"
scuba,Collections,scuba,1905345,"$10,433,488.09"
shorts,Category,shorts,572888,"$2,093,359.94"
define,Collections,define jacket,462670,"$3,566,816.44"
align,Collections,align,417267,"$4,948,056.73"
leggings,Category,leggings,351252,"$2,511,427.32"
swiftly,Collections,swiftly,296633,"$1,591,910.14"
everywhere,Collections,everywhere belt bag,207788,"$1,438,011.22"
align,Collections,align tank,225922,"$1,190,313.39"
align,Collections,align leggings,174881,"$2,091,488.85"
leggings,Category,align leggings,174881,"$2,091,488.85"
swiftly,Collections,swiftly tech,176779,"$1,156,425.87"
we made too much,Category,we made too much,119687,"$592,076.05"
hotty hot,Collections,hotty hot,155874,"$910,585.98"
define,Collections,define,168830,"$1,551,166.64"
bags,Category,bags,124248,"$828,463.01"
speed up,Collections,speed up,97005,"$464,907.25"
align,Collections,align shorts,84762,"$481,719.46"
shorts,Category,align shorts,84762,"$481,719.46"
tank tops,Category,tank tops,79056,"$281,269.70"
shirts,Category,shirts,89858,"$244,266.38"
backpacks,Attribute,backpacks,76478,"$695,347.15"
joggers,Category,joggers,86410,"$878,731.03"
skirts,Category,skirts,62987,"$281,608.62"
shorts,Category,hotty hotty shorts,75751,"$551,988.95"
dance,Activity,dance studio,99429,"$1,220,866.85"
dance studio,Collections,dance studio,99429,"$1,220,866.85"
pants,Category,pants,72508,"$453,982.67"
sonic pink,Color name,sonic pink,61445,"$321,732.17"
pink,Color Family,sonic pink,61445,"$321,732.17"
swiftly,Collections,swiftly top,58593,"$282,759.90"
swiftly,Collections,swiftly tech shirts,62483,"$381,891.50"
shirts,Category,swiftly tech shirts,62483,"$381,891.50"
wunder train,Collections,wunder train,66933,"$727,199.74"
lip gloss,Color name,lip gloss,43543,"$204,722.58"
shorts,Category,biker shorts,51024,"$146,760.05"
black,Color name,black leggings,54696,"$358,375.82"
leggings,Category,black leggings,54696,"$358,375.82"
shorts,Category,shorts hotty hot,50362,"$248,956.35"
hotty hot,Collections,shorts hotty hot,50362,"$248,956.35"
short,Length,women's short,44354,"$235,963.60"
align,Collections,align short,55078,"$427,484.11"
short,Length,align short,55078,"$427,484.11"
yoga,Activity,yoga mat,51681,"$752,329.75"
ebb to street,Collections,ebb to street tank,57290,"$437,690.85"
poolside,Color name,poolside,34923,"$108,486.35"
scuba,Collections,scuba hoodie,86244,"$1,534,340.17"
shoes,Category,shoes,54503,"$447,393.44"
align,Collections,align dress,56863,"$439,280.73"
align,Collections,lululemon align leggings,82952,"$1,796,477.65"
leggings,Category,lululemon align leggings,82952,"$1,796,477.65"
tennis,Activity,tennis,39094,"$291,794.89"
align,Collections,align bra,47408,"$244,170.82"
all yours,Collections,all yours,48091,"$297,365.13"
pink,Color Family,pink,50951,"$230,496.45"
align,Collections,align top,46025,"$190,555.25"
shorts,Category,men's shorts,37784,"$234,366.58"
green,Color Family,kelly green,32558,"$176,624.45"
everywhere,Collections,everywhere crossbody bag,39908,"$247,984.25"
swiftly,Collections,swiftly shirt,53547,"$469,522.85"
tennis,Activity,tennis skirt,36554,"$290,504.58"
java,Color name,java,32942,"$195,831.64"
espresso,Color name,espresso,57850,"$578,699.25"
bone,Color name,bone,39693,"$347,961.27"
dance,Activity,dance studio pants,44796,"$377,207.60"
dance studio,Collections,dance studio pants,44796,"$377,207.60"
pants,Category,dance studio pants,44796,"$377,207.60"
flush pink,Color name,flush pink,30303,"$149,933.25"
pink,Color Family,flush pink,30303,"$149,933.25"
bike,Activity,bike short,29690,"$99,422.55"
short,Length,bike short,29690,"$99,422.55"
speed up,Collections,speed up shorts,38082,"$207,414.90"
shorts,Category,speed up shorts,38082,"$207,414.90"
scuba,Collections,scuba half zip,48439,"$511,283.90"
socks,Category,socks,57110,"$503,462.16"
golf,Activity,golf,30687,"$272,914.11"
short,Length,short,32397,"$121,176.38"
leggings,Category,camo leggings,32376,"$226,251.75"
dark lavender,Color name,dark lavender,27936,"$157,495.20"
long,Length,long sleeve,47228,"$319,056.00"
energy,Collections,energy bra,39600,"$327,343.17"
leggings,Category,flare leggings,35271,"$225,701.50"
love,Collections,love,37957,"$357,421.81"
hotty hot,Collections,hotty hot shorts,31182,"$140,462.15"
shorts,Category,hotty hot shorts,31182,"$140,462.15"
shorts,Category,women's shorts,23067,"$103,045.15"
swiftly,Collections,swiftly tech short sleeve,32160,"$297,065.15"
short,Length,swiftly tech short sleeve,32160,"$297,065.15"
tennis,Activity,tennis skirts,26046,"$243,105.46"
skirts,Category,tennis skirts,26046,"$243,105.46"
slides,Attribute,slides,43549,"$454,080.87"
ebb to street,Collections,ebb to street,33184,"$172,086.19"
sculpt,Collections,sculpt tank,26024,"$199,160.60"
utility blue,Color name,utility blue,22307,"$120,983.45"
blue,Color Family,utility blue,22307,"$120,983.45"
